threshold,shock_magnitude,gallagher_index,mttf,fragmentation
0.0,0.1,0.0015968418598593602,4.165062321063807,3
0.0,0.2,0.0015968418598593602,4.018492444128905,3
0.0,0.3,0.0015968418598593602,3.862158065898144,3
0.0,0.5,0.0015968418598593602,3.5231447108524048,3
0.01,0.1,0.005452710774381994,4.170918058548287,3
0.01,0.2,0.005452710774381994,4.0247633917691426,3
0.01,0.3,0.005452710774381994,3.868822138200308,3
0.01,0.5,0.005452710774381994,3.530484746484656,3
0.03,0.1,0.02663247407389159,4.1999334853454195,3
0.03,0.2,0.02663247407389159,4.055864792077321,3
0.03,0.3,0.02663247407389159,3.9019057477487715,3
0.03,0.5,0.02663247407389159,3.567001948044915,3
0.05,0.1,0.06016817414853633,4.221248969590032,2
0.05,0.2,0.06016817414853633,4.0787430454684355,2
0.05,0.3,0.06016817414853633,3.926276669325619,2
0.05,0.5,0.06016817414853633,3.593985329923204,2
0.08,0.1,0.1135451279437588,4.297404381992709,2
0.08,0.2,0.1135451279437588,4.160692636843939,2
0.08,0.3,0.1135451279437588,4.01381418189893,2
0.08,0.5,0.1135451279437588,3.6914925536013903,2
0.1,0.1,0.1135451279437588,4.297404381992709,2
0.1,0.2,0.1135451279437588,4.160692636843939,2
0.1,0.3,0.1135451279437588,4.01381418189893,2
0.1,0.5,0.1135451279437588,3.6914925536013903,2
0.15,0.1,0.1135451279437588,4.297404381992709,2
0.15,0.2,0.1135451279437588,4.160692636843939,2
0.15,0.3,0.1135451279437588,4.01381418189893,2
0.15,0.5,0.1135451279437588,3.6914925536013903,2
